수집일자,구분,본부명,지사명,저수율(%),변화율(%),평년대비(%),관심(개소),주의(개소),경계(개소),심각(개소),총개소,평년저수량(톤),현재저수량(톤),부족저수량(톤),총유역면적(m²),필요강수량(mm),3일예상강수량(mm),예상보충수량(톤),예상저수량(3일후)(톤),예상저수율(3일후)(%),예상평년대비(3일후)(%),해갈상태,예상강수량(1주)(mm),예상보충수량(1주)(톤),예상저수량(1주후)(톤),예상저수율(1주후)(%),예상평년대비(1주후)(%),해갈상태(1주)
2026-08-15,지사,전남,나주,48.3,-1,84.4,25,4,5,7,41,69509010,58249644,11259366,150612375,125,67,6054617.475,64304261.48,53.4,92.5,미흡,132,11928500.1,70178144.1,58.2,101,해소
2026-08-15,지사,전남,담양,44,-0.9,70.8,8,1,4,2,15,61082490,43048562,18033928,122244725,246,70,5134278.45,48182840.45,49.3,78.9,부족,127,9315048.045,52363610.05,53.5,85.7,미흡
2026-08-15,지사,전남,곡성,26.6,-1,46.4,6,2,4,15,27,10058300,4659732,5398568,21927075,410,73,960405.885,5620137.885,32,55.9,부족,119,1565593.155,6225325.155,35.5,61.9,부족
2026-08-15,지사,전남,구례,34.7,-1.8,47.3,4,0,4,8,16,10802890,5058053,5744837,18223250,525,146,1596356.7,6654409.7,45.6,61.6,부족,182,1989978.9,7048031.9,48.3,65.2,부족
2026-08-15,지사,전남,고흥,33.8,-0.2,48.7,9,6,10,12,37,16678770,8027508,8651262,29682875,486,144,2564600.4,10592108.4,44.6,63.5,부족,186,3312608.85,11340116.85,47.8,68,부족
2026-08-15,지사,전남,보성,44.1,-0.6,56,8,6,5,5,24,19141980,10563009,8578971,29944188,477,154,2766842.971,13329851.97,55.6,69.6,부족,189,3395670.919,13958679.92,58.3,72.9,부족
2026-08-15,지사,전남,화순,29.8,-1,47.3,4,6,3,10,23,19266420,9061107,10205313,38067500,447,65,1484632.5,10545739.5,34.6,54.7,부족,125,2855062.5,11916169.5,39.1,61.8,부족
2026-08-15,지사,전남,장흥,38.2,0.7,56.9,8,6,4,7,25,15292360,8643427,6648933,28314875,391,168,2854139.4,11497566.4,50.8,75.2,부족,206,3499718.55,12143145.55,53.6,79.4,미흡
2026-08-15,지사,전남,강진,43.8,-0.4,66.2,15,2,3,3,23,20626140,13594434,7031706,38831625,302,147,3424949.325,17019383.33,54.8,82.5,부족,189,4403506.275,17997940.28,57.9,87.3,해소
2026-08-15,지사,전남,해남.완도,38.5,-1.1,57.1,22,15,5,16,58,26449190,15039310,11409880,48861000,389,56,1641729.6,16681039.6,42.7,63.1,부족,94,2755760.4,17795070.4,45.5,67.3,부족
2026-08-15,지사,전남,영암,39.2,-1,63.3,19,5,6,6,36,11372680,7081994,4290686,22573725,317,70,948096.45,8030090.45,44.5,70.6,부족,122,1652396.67,8734390.67,48.4,76.8,부족
2026-08-15,지사,전남,목포.무안.신안,39.8,-0.9,61,34,4,3,9,50,10741869,6481002,4260867,20370414,349,58,708890.4072,7189892.407,44.1,66.9,부족,134,1637781.286,8118783.286,49.8,75.6,부족
2026-08-15,지사,전남,함평,38,-0.6,63.2,13,2,1,3,19,9702660,6070314,3632346,19942000,304,60,717912,6788226,42.5,70,부족,134,1603336.8,7673650.8,48.1,79.1,부족
2026-08-15,지사,전남,영광,30,-1.3,48.8,12,3,4,5,24,17752260,8592351,9159909,35755750,427,58,1244300.1,9836651.1,34.4,55.4,부족,130,2788948.5,11381299.5,39.8,64.1,부족
2026-08-15,지사,전남,장성,29.8,-1,49.7,19,4,3,0,26,73887280,36638878,37248402,153619000,404,56,5161598.4,41800476.4,34,56.6,부족,123,11337082.2,47975960.2,39,64.9,부족
2026-08-15,지사,전남,진도,38.4,-0.9,57.8,9,2,4,6,21,8894430,5060306,3834124,16478250,388,53,524008.35,5584314.35,42.4,62.8,부족,84,830503.8,5890809.8,44.7,66.2,부족
2026-08-15,본부,경북,-,42.7,-0.6,63.2,176,41,41,75,333,0,0,0,0,0,87,27947092.44,210568496.4,49.3,71.7,-,111,35319116.37,217940520.4,51,74.3,-
2026-08-15,지사,경북,포항.울릉,32.7,-0.2,48.8,11,5,9,7,32,28609700,13368281,15241419,51155250,497,93,2854462.95,16222743.95,39.6,56.7,부족,103,3161394.45,16529675.45,40.4,57.8,부족
2026-08-15,지사,경북,경주,23.5,-0.2,34.6,8,6,9,24,47,31994560,10956555,21038005,58255875,602,98,3425445.45,14382000.45,30.9,45,부족,120,4194423,15150978,32.5,47.4,부족
2026-08-15,지사,경북,안동,44.3,-0.9,71.9,7,1,2,2,12,5593680,4001806,1591874,11290000,235,67,453858,4455664,49.3,79.7,부족,90,609660,4611466,51.1,82.4,부족
2026-08-15,지사,경북,구미.김천,53.8,-1,70.3,11,3,0,0,14,15478900,10591843,4887057,24596438,331,81,1195386.887,11787229.89,59.9,76.2,부족,119,1756185.673,12348028.67,62.8,79.8,부족
2026-08-15,지사,경북,영주.봉화,67.1,-1,100.6,11,0,0,0,11,18100890,18195130,0,33894613,0,64,1301553.139,19496683.14,71.9,107.7,해소,80,1626941.424,19822071.42,73.1,109.5,해소
